SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,RevenuePerMonth,EngagementScore,RiskScore,TenureChargeInteraction,CustomerStability,ServiceDensity
0,1,29.85,29.85,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,14.925,29.85,14.925,29.85,0.03241491085899514,14.925
0,34,56.95,1889.5,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,53.98571428571429,1936.3000000000002,1.6271428571428572,1936.3000000000002,0.5867126833477135,1.6271428571428572
0,2,53.85,108.15,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,36.050000000000004,107.7,17.95,107.7,0.03646308113035551,17.95
0,45,42.3,1840.75,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,40.016304347826086,1903.4999999999998,0.9195652173913043,1903.4999999999998,1.0392609699769053,0.9195652173913043
0,2,70.7,151.65,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,50.550000000000004,141.4,23.566666666666666,141.4,0.02789400278940028,23.566666666666666
0,8,99.65,820.5,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,91.16666666666667,797.2,11.072222222222223,797.2,0.07948335817188276,11.072222222222223
0,22,89.1,1949.4,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,84.75652173913043,1960.1999999999998,3.8739130434782605,1960.1999999999998,0.24417314095449502,3.8739130434782605
0,10,29.75,301.9,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,27.44545454545454,297.5,2.7045454545454546,297.5,0.3252032520325203,2.7045454545454546
0,28,104.8,3046.05,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,105.03620689655173,2934.4,3.613793103448276,2934.4,0.26465028355387527,3.613793103448276
0,62,56.15,3487.95,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,55.364285714285714,3481.2999999999997,0.8912698412698412,3481.2999999999997,1.0848643919510061,0.8912698412698412
0,13,49.95,587.45,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,41.96071428571429,649.35,3.567857142857143,649.35,0.2551521099116781,3.567857142857143
0,16,18.95,326.8,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,19.223529411764705,303.2,1.1147058823529412,303.2,0.8020050125313284,1.1147058823529412
0,58,100.35,5681.1,0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,96.28983050847458,5820.299999999999,1.7008474576271186,5820.299999999999,0.5722742969906266,1.7008474576271186
0,49,103.7,5036.3,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,100.726,5081.3,2.074,5081.3,0.4680038204393505,2.074
0,25,105.5,2686.05,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,103.3096153846154,2637.5,4.0576923076923075,2637.5,0.2347417840375587,4.0576923076923075
0,69,113.25,7895.15,0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,112.78785714285713,7814.25,1.6178571428571429,7814.25,0.6039387308533917,1.6178571428571429
0,52,20.65,1022.95,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,19.300943396226415,1073.8,0.38962264150943393,1073.8,2.401847575057737,0.38962264150943393
0,71,106.7,7382.25,0,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,102.53125,7575.7,1.4819444444444445,7575.7,0.659238625812442,1.4819444444444445
0,10,55.2,528.35,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,48.03181818181818,552.0,5.0181818181818185,552.0,0.1779359430604982,5.0181818181818185
0,21,90.05,1862.9,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,84.67727272727274,1891.05,4.093181818181818,1891.05,0.23064250411861614,4.093181818181818
1,1,39.65,39.65,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,19.825,39.65,19.825,39.65,0.024600246002460024,19.825
0,12,19.8,202.25,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,15.557692307692308,237.60000000000002,1.5230769230769232,237.60000000000002,0.5769230769230769,1.5230769230769232
0,1,20.15,20.15,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,10.075,20.15,10.075,20.15,0.047281323877068564,10.075
